 -0.55 1.265   0.91480   0.15930
 -0.55 1.275   0.79510   0.13960
 -0.55 1.285   0.92790   0.16640
 -0.55 1.295   0.99640   0.16820
 -0.55 1.305   0.97500   0.16630
 -0.55 1.315   0.91460   0.17960
 -0.55 1.325   0.60870   0.11490
 -0.55 1.335   0.85880   0.16850
 -0.55 1.345   0.89790   0.13620
 -0.55 1.355   0.97770   0.19740
 -0.55 1.365   0.71280   0.13070
 -0.55 1.375   0.82740   0.15920
 -0.55 1.385   0.78730   0.14450
 -0.55 1.395   0.77080   0.14360
 -0.65 0.405   0.13040   0.06071
 -0.65 0.415   0.12640   0.08095
 -0.65 0.425   0.11900   0.05853
 -0.65 0.435   0.11720   0.05360
 -0.65 0.445   0.17550   0.06233
 -0.65 0.455   0.22060   0.13600
 -0.65 0.465   0.29590   0.10690
 -0.65 0.475   0.31610   0.20930
 -0.65 0.485   0.25760   0.17880
 -0.65 0.495   0.27400   0.13530
 -0.65 0.505   0.20090   0.08362
 -0.65 0.515   0.26470   0.13080
 -0.65 0.525   0.42530   0.13040
 -0.65 0.535   0.34750   0.11720
 -0.65 0.545   0.35380   0.11980
 -0.65 0.555   0.47320   0.15110
 -0.65 0.565   0.41400   0.11940
 -0.65 0.575   0.49070   0.13840
 -0.65 0.585   0.27690   0.15500
 -0.65 0.595   0.44210   0.13280
 -0.65 0.605   0.59670   0.16010
 -0.65 0.615   0.33010   0.20880
 -0.65 0.625   0.40670   0.13810
 -0.65 0.635   0.60630   0.18460
 -0.65 0.645   0.53260   0.14420
 -0.65 0.655   0.16790   0.23290
 -0.65 0.665   0.33050   0.18580
 -0.65 0.675   0.23690   0.17790
 -0.65 0.685  -0.02396   0.17020
 -0.65 0.695   0.17070   0.26370
 -0.65 0.705  -0.20970   0.21370
 -0.65 0.715  -0.39430   0.17840
 -0.65 0.725  -0.33110   0.18280
 -0.65 0.735  -0.72460   0.18860
 -0.65 0.745  -0.75680   0.34560
 -0.65 0.755  -1.00000   0.25960
 -0.65 0.765  -1.16900   0.32540
 -0.65 0.775  -1.44300   0.33990
 -0.65 0.785  -1.36300   0.26170
 -0.65 0.795  -1.45100   0.28730
 -0.65 0.805  -1.58600   0.29580
