#CLAS physics database search results
#Measurement E28M3
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.55	0.875  6.808  0.8659
0.55	0.885  6.426  0.8717
0.55	0.895  6.096  0.7051
0.55	0.905  5.519  0.6899
0.55	0.915  5.413  0.7494
0.55	0.925  5.228  0.5962
0.55	0.935  4.974  0.5702
0.55	0.945  4.837  0.5739
0.55	0.955  4.784  0.5104
0.55	0.965  4.552  0.5935
0.55	0.975  4.326  0.4766
0.55	0.985  4.161  0.4887
0.55	0.995  3.915  0.4462
0.55	1.005  3.734  0.4258
0.55	1.015  3.455  0.5059
0.55	1.025  3.769  0.4987
0.55	1.035  3.333  0.3658
0.55	1.045  3.364  0.5993
0.55	1.055  3.365  0.4411
0.55	1.065  3.231  0.3801
0.55	1.075  3.494  0.4244
0.55	1.085  2.965  0.3199
0.55	1.095  3.018  0.3686
0.55	1.105  3.177  0.4076
0.55	1.115  2.835  0.3158
0.55	1.125  2.722  0.3494
0.55	1.135  2.545  0.3128
0.55	1.145  2.779  0.3267
0.55	1.155  2.857  0.3241
0.55	1.165  2.7  0.2985
0.55	1.175  2.596  0.2845
0.55	1.185  2.63  0.2832
0.55	1.195  2.728  0.3023
0.55	1.205  2.65  0.3098
0.55	1.215  2.724  0.2926
0.55	1.225  2.725  0.3066
0.55	1.235  2.926  0.3181
0.55	1.245  3.313  0.3641
0.55	1.255  2.911  0.3216
0.55	1.265  2.936  0.3139
0.55	1.275  3.05  0.3444
0.55	1.285  3.028  0.3228
0.55	1.295  3.083  0.3471
0.55	1.305  3.122  0.3515
0.55	1.315  2.931  0.3401
0.55	1.325  2.616  0.2993
0.55	1.335  2.704  0.3111
0.55	1.345  2.793  0.3279
0.55	1.355  2.679  0.3038
0.55	1.365  2.742  0.3967
0.55	1.375  2.724  0.368
0.55	1.385  2.393  0.2999
0.55	1.395  2.315  0.2781
0.65	0.405  0.6399  0.092636
0.65	0.415  0.5489  0.12415
0.65	0.425  0.6661  0.10034
0.65	0.435  0.7966  0.1276
0.65	0.445  1.087  0.2079
0.65	0.455  0.9969  0.1929
0.65	0.465  1.028  0.1617
0.65	0.475  1.097  0.1494
0.65	0.485  0.9164  0.2002
0.65	0.495  0.9823  0.1591
0.65	0.505  1.048  0.2215
0.65	0.515  1.204  0.1705
0.65	0.525  1.163  0.165
0.65	0.535  1.3  0.177
0.65	0.545  1.347  0.1857
0.65	0.555  1.447  0.195
0.65	0.565  1.369  0.1826
0.65	0.575  1.613  0.2055
0.65	0.585  1.801  0.2878
0.65	0.595  1.855  0.2375
0.65	0.605  1.849  0.2642
0.65	0.615  2.175  0.3611
0.65	0.625  2.256  0.2747
0.65	0.635  2.412  0.318
0.65	0.645  2.849  0.3298
0.65	0.655  3.191  0.4576
0.65	0.665  3.364  0.3952
0.65	0.675  4.342  0.498
0.65	0.685  4.748  0.5235
0.65	0.695  4.853  0.6085
0.65	0.705  5.733  0.6335
0.65	0.715  6.371  0.6777
0.65	0.725  7.073  0.7478
0.65	0.735  7.646  0.7995
0.65	0.745  8.319  1.001
0.65	0.755  8.78   0.9669
0.65	0.765  8.869  1.013
0.65	0.775  8.665  0.9375
0.65	0.785  8.137  0.8957
0.65	0.795  7.527  0.807
0.65	0.805  7.291  0.8101
0.65	0.815  6.219  0.7807
0.65	0.825  6.047  0.636
0.65	0.835  5.538  0.7182
0.65	0.845  4.711  0.5316
0.65	0.855  4.753  0.5257
0.65	0.865  4.33   0.5105
0.65	0.875  3.946  0.521
0.65	0.885  4.033  0.4443
0.65	0.895  3.635  0.4375
0.65	0.905  3.543  0.4306
0.65	0.915  3.656  0.4724
0.65	0.925  3.287  0.4491
0.65	0.935  3.193  0.4431
0.65	0.945  3.369  0.3914
0.65	0.955  2.873  0.3172
0.65	0.965  3.092  0.3636
0.65	0.975  2.845  0.3282
0.65	0.985  2.834  0.4047
0.65	0.995  2.52   0.2948
0.65	1.005  2.61   0.3071
0.65	1.015  2.549  0.3033
0.65	1.025  2.343  0.2608
0.65	1.035  2.244  0.2638
0.65	1.045  2.086  0.2827
0.65	1.055  2.167  0.2701
0.65	1.065  2.263  0.2852
0.65	1.075  2.289  0.2706
0.65	1.085  2.053  0.2378
0.65	1.095  2.157  0.2593
0.65	1.105  1.921  0.2199
0.65	1.115  1.91   0.2152
0.65	1.125  1.962  0.2225
0.65	1.135  1.924  0.2257
0.65	1.145  1.964  0.2213
0.65	1.155  1.9    0.2244
0.65	1.165  2.034  0.2385
0.65	1.175  2.049  0.2476
0.65	1.185  2.022  0.2393
0.65	1.195  2.355  0.286
0.65	1.205  2.266  0.2815
0.65	1.215  2.284  0.3014
0.65	1.225  2.364  0.2851
0.65	1.235  2.462  0.2907
0.65	1.245  2.458  0.27
0.65	1.255  2.424  0.307
0.65	1.265  2.678  0.3946
0.65	1.275  2.59   0.2859
0.65	1.285  2.352  0.2681
0.65	1.295  2.356  0.2639
0.65	1.305  2.353  0.2785
0.65	1.315  2.346  0.2661
0.65	1.325  2.322  0.2848
0.65	1.335  2.089  0.2534
0.65	1.345  2.049  0.2446
0.65	1.355  2.15   0.2885
0.65	1.365  2.053  0.2804
0.65	1.375  1.962  0.2197
0.65	1.385  2.039  0.2979
0.65	1.395  1.895  0.2519
0.75	0.405  0.4383  0.051932
0.75	0.415  0.4822  0.05962
0.75	0.425  0.4916  0.068144
0.75	0.435  0.5745  0.073766
0.75	0.445  0.5943  0.078892
0.75	0.455  0.665   0.084073
0.75	0.465  0.6038  0.12073
0.75	0.475  0.6906  0.1072
0.75	0.485  0.6949  0.1034
0.75	0.495  0.734   0.1407
0.75	0.505  0.7713  0.1194
0.75	0.515  0.92   0.1214
0.75	0.525  0.8994  0.1825
0.75	0.535  0.794  0.1483
0.75	0.545  1.012  0.1526
0.75	0.555  1.061  0.2058
