#CLAS physics database search results
#Measurement E28M2
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.65	0.995	2.947	0.3146
0.65	1.005	2.925	0.3159
0.65	1.015	2.825	0.3057
0.65	1.025	2.392	0.3056
0.65	1.035	2.67	0.3036
0.65	1.045	2.618	0.2822
0.65	1.055	2.606	0.299
0.65	1.065	2.504	0.2899
0.65	1.075	2.595	0.2882
0.65	1.085	2.333	0.2556
0.65	1.095	2.532	0.2801
0.65	1.105	2.299	0.2716
0.65	1.115	2.577	0.2905
0.65	1.125	2.551	0.2763
0.65	1.135	2.736	0.3016
0.65	1.145	2.83	0.3483
0.65	1.155	2.709	0.3193
0.65	1.165	2.77	0.3067
0.65	1.175	2.779	0.312
0.65	1.185	2.888	0.3446
0.65	1.195	2.848	0.3318
0.65	1.205	2.726	0.3253
0.65	1.215	2.76	0.3121
0.65	1.225	2.944	0.3521
0.65	1.235	2.965	0.3517
0.65	1.245	3.001	0.3296
0.65	1.255	2.869	0.311
0.65	1.265	3.047	0.3463
0.65	1.275	3.066	0.3587
0.65	1.285	2.945	0.324
0.65	1.295	3.088	0.3466
0.65	1.305	2.874	0.3173
0.65	1.315	2.911	0.3154
0.65	1.325	2.668	0.2968
0.65	1.335	2.905	0.3277
0.65	1.345	2.619	0.2784
0.65	1.355	3.013	0.3221
0.65	1.365	2.997	0.3402
0.65	1.375	2.567	0.2788
0.65	1.385	2.589	0.2873
0.65	1.395	2.651	0.2951
0.75	0.405	0.5924	0.06272
0.75	0.415	0.6052	0.06534
0.75	0.425	0.6979	0.07701
0.75	0.435	0.78	0.08555
0.75	0.445	0.7214	0.08473
0.75	0.455	0.9531	0.1075
0.75	0.465	0.9437	0.1071
0.75	0.475	1.038	0.1246
0.75	0.485	0.9319	0.1639
0.75	0.495	1.033	0.1228
0.75	0.505	1.023	0.1687
0.75	0.515	1.195	0.1521
0.75	0.525	1.232	0.1397
0.75	0.535	1.284	0.1488
0.75	0.545	1.523	0.1703
0.75	0.555	1.451	0.1702
0.75	0.565	1.491	0.202
0.75	0.575	1.582	0.2287
0.75	0.585	1.636	0.1881
0.75	0.595	1.852	0.2039
0.75	0.605	1.917	0.2207
0.75	0.615	2.092	0.225
0.75	0.625	2.216	0.2711
0.75	0.635	2.474	0.2682
0.75	0.645	2.677	0.2865
0.75	0.655	2.949	0.3171
0.75	0.665	3.434	0.3739
0.75	0.675	3.788	0.4243
0.75	0.685	4.325	0.4703
0.75	0.695	4.647	0.4829
0.75	0.705	5.171	0.5373
0.75	0.715	5.969	0.6252
0.75	0.725	6.516	0.6731
0.75	0.735	7.295	0.7539
0.75	0.745	7.592	0.7763
0.75	0.755	7.726	0.7871
0.75	0.765	7.976	0.8237
0.75	0.775	7.911	0.8054
0.75	0.785	7.185	0.75
0.75	0.795	6.709	0.6849
0.75	0.805	5.987	0.6361
0.75	0.815	5.6	0.6049
0.75	0.825	5.279	0.5458
0.75	0.835	4.742	0.4948
0.75	0.845	4.342	0.4612
0.75	0.855	4.165	0.442
0.75	0.865	3.938	0.434
0.75	0.875	3.224	0.3618
0.75	0.885	3.451	0.3629
0.75	0.895	3.038	0.3448
0.75	0.905	2.847	0.3072
0.75	0.915	2.694	0.2864
0.75	0.925	2.58	0.2987
0.75	0.935	2.501	0.2806
0.75	0.945	2.335	0.2603
0.75	0.955	2.425	0.2575
0.75	0.965	2.295	0.2474
0.75	0.975	2.393	0.2584
0.75	0.985	1.985	0.2122
0.75	0.995	1.982	0.2143
0.75	1.005	2.021	0.2276
0.75	1.015	1.873	0.2018
0.75	1.025	1.998	0.2163
0.75	1.035	1.988	0.2154
0.75	1.045	2.004	0.2169
0.75	1.055	2.008	0.2241
0.75	1.065	2.032	0.224
0.75	1.075	2.246	0.2625
0.75	1.085	2.142	0.2366
0.75	1.095	2.063	0.2265
0.75	1.105	2.369	0.278
0.75	1.115	2.207	0.2567
0.75	1.125	2.213	0.2718
0.75	1.135	2.148	0.2456
0.75	1.145	2.302	0.3008
0.75	1.155	2.426	0.3061
0.75	1.165	2.328	0.2829
0.75	1.175	2.278	0.2823
0.75	1.185	2.207	0.2674
0.75	1.195	2.424	0.3004
0.75	1.205	2.276	0.2542
0.75	1.215	2.583	0.3148
0.75	1.225	2.623	0.2967
0.75	1.235	2.593	0.2927
0.75	1.245	2.596	0.2936
0.75	1.255	2.759	0.3187
0.75	1.265	2.557	0.2745
0.75	1.275	2.654	0.2849
0.75	1.285	2.666	0.2967
0.75	1.295	2.617	0.2919
0.75	1.305	2.62	0.3097
0.75	1.315	2.612	0.3075
0.75	1.325	2.588	0.2788
0.75	1.335	2.464	0.2712
0.75	1.345	2.586	0.2865
0.75	1.355	2.435	0.2904
0.75	1.365	2.304	0.2506
0.75	1.375	2.115	0.2349
0.75	1.385	2.013	0.2423
0.75	1.395	2.111	0.248
0.85	0.405	0.4749	0.05078
0.85	0.415	0.5232	0.0576
0.85	0.425	0.565	0.06099
0.85	0.435	0.5781	0.06273
0.85	0.445	0.6931	0.07623
0.85	0.455	0.6911	0.08822
0.85	0.465	0.8309	0.09308
0.85	0.475	0.8017	0.091
0.85	0.485	0.8751	0.107
0.85	0.495	0.9795	0.1275
0.85	0.505	0.9952	0.1143
0.85	0.515	0.9299	0.1075
0.85	0.525	1.206	0.1362
0.85	0.535	1.119	0.1328
0.85	0.545	1.192	0.1449
0.85	0.555	1.201	0.1366
0.85	0.565	1.374	0.1812
0.85	0.575	1.394	0.1788
0.85	0.585	1.477	0.1665
0.85	0.595	1.524	0.1764
0.85	0.605	1.655	0.1863
0.85	0.615	1.873	0.2063
0.85	0.625	1.982	0.2135
0.85	0.635	2.138	0.2374
0.85	0.645	2.324	0.2508
0.85	0.655	2.529	0.2693
0.85	0.665	2.718	0.3006
0.85	0.675	3.247	0.339
0.85	0.685	3.756	0.4028
0.85	0.695	4.017	0.4177
0.85	0.705	4.395	0.4641
0.85	0.715	4.955	0.5228
0.85	0.725	5.277	0.5434
0.85	0.735	5.972	0.62
0.85	0.745	6.301	0.6556
0.85	0.755	6.493	0.6661
0.85	0.765	6.248	0.6569
0.85	0.775	6.211	0.6395
0.85	0.785	5.625	0.5868
0.85	0.795	4.758	0.4918
0.85	0.805	4.465	0.4592
0.85	0.815	4.032	0.4214
0.85	0.825	3.609	0.3754
0.85	0.835	3.307	0.343
0.85	0.845	3.008	0.3187
0.85	0.855	2.799	0.3062
0.85	0.865	2.624	0.2766
0.85	0.875	2.374	0.2542
0.85	0.885	2.311	0.2578
0.85	0.895	2.054	0.2226
0.85	0.905	2.136	0.2377
0.85	0.915	1.901	0.2043
0.85	0.925	1.933	0.2116
0.85	0.935	1.896	0.2052
0.85	0.945	2.029	0.2275
0.85	0.955	1.757	0.1905
0.85	0.965	1.898	0.2059
0.85	0.975	1.921	0.2121
0.85	0.985	1.742	0.1874
0.85	0.995	1.574	0.1793
0.85	1.005	1.663	0.1837
0.85	1.015	1.713	0.1918
0.85	1.025	1.517	0.1757
0.85	1.035	1.502	0.1723
0.85	1.045	1.725	0.1955
0.85	1.055	1.679	0.1916
0.85	1.065	1.692	0.1858
0.85	1.075	1.719	0.2246
0.85	1.085	1.647	0.1932
0.85	1.095	1.818	0.2088
0.85	1.105	1.657	0.1862
0.85	1.115	1.808	0.2228
0.85	1.125	1.944	0.223
0.85	1.135	1.821	0.2096
0.85	1.145	1.977	0.2208
0.85	1.155	1.968	0.2208
0.85	1.165	1.982	0.2292
0.85	1.175	2.135	0.2467
0.85	1.185	2.086	0.2603
0.85	1.195	2.221	0.2406
0.85	1.205	2.203	0.2601
0.85	1.215	2.39	0.2603
0.85	1.225	2.376	0.2666
0.85	1.235	2.638	0.3004
0.85	1.245	2.455	0.2802
0.85	1.255	2.622	0.311
0.85	1.265	2.673	0.3033
0.85	1.275	2.632	0.3446
0.85	1.285	2.602	0.3077
0.85	1.295	2.565	0.3081
0.85	1.305	2.666	0.3749
0.85	1.315	2.328	0.2906
0.85	1.325	2.282	0.2497
0.85	1.335	2.19	0.2531
0.85	1.345	2.186	0.2537
0.85	1.355	2.14	0.2388
0.85	1.365	1.951	0.2724
0.85	1.375	1.883	0.2039
0.85	1.385	1.909	0.2107
0.85	1.395	1.863	0.2057
0.95	0.405	0.4326	0.04845
0.95	0.415	0.4375	0.04765
0.95	0.425	0.4454	0.04892
0.95	0.435	0.4466	0.0491
0.95	0.445	0.5324	0.05855
0.95	0.455	0.5811	0.06578
0.95	0.465	0.6715	0.08403
0.95	0.475	0.7815	0.08991
0.95	0.485	0.7193	0.08259
0.95	0.495	0.8639	0.1174
0.95	0.505	0.916	0.1088
0.95	0.515	0.8335	0.09762
0.95	0.525	0.9798	0.111
0.95	0.535	0.9689	0.1093
0.95	0.545	0.8777	0.1021
0.95	0.555	1.008	0.1116
0.95	0.565	0.9737	0.1135
0.95	0.575	1.076	0.1257
0.95	0.585	1.265	0.1423
0.95	0.595	1.246	0.147
0.95	0.605	1.509	0.1973
0.95	0.615	1.631	0.1763
0.95	0.625	1.687	0.1845
0.95	0.635	1.851	0.2052
0.95	0.645	1.866	0.2237
0.95	0.655	2.154	0.2291
0.95	0.665	2.199	0.2321
0.95	0.675	2.487	0.2703
0.95	0.685	2.739	0.2903
0.95	0.695	3.225	0.3405
0.95	0.705	3.55	0.3684
0.95	0.715	3.798	0.3974
0.95	0.725	4.115	0.4368
0.95	0.735	4.521	0.4723
0.95	0.745	4.498	0.4674
0.95	0.755	5.015	0.5245
0.95	0.765	4.75	0.4923
0.95	0.775	4.674	0.4943
0.95	0.785	4.247	0.4578
0.95	0.795	3.861	0.4052
0.95	0.805	3.671	0.3808
0.95	0.815	3.213	0.3362
0.95	0.825	3.034	0.3155
0.95	0.835	2.688	0.3019
0.95	0.845	2.615	0.2773
0.95	0.855	2.434	0.2539
0.95	0.865	2.202	0.23
0.95	0.875	2.19	0.2322
0.95	0.885	2.114	0.2213
0.95	0.895	1.929	0.2091
0.95	0.905	1.786	0.1886
0.95	0.915	1.783	0.1898
0.95	0.925	1.744	0.1841
0.95	0.935	1.799	0.1971
0.95	0.945	1.908	0.2045
0.95	0.955	1.683	0.1844
0.95	0.965	1.664	0.1919
0.95	0.975	1.633	0.1757
0.95	0.985	1.556	0.167
0.95	0.995	1.425	0.1605
0.95	1.005	1.319	0.151
0.95	1.015	1.631	0.185
0.95	1.025	1.463	0.1603
0.95	1.035	1.358	0.1521
0.95	1.045	1.334	0.1527
0.95	1.055	1.523	0.1721
0.95	1.065	1.487	0.1682
0.95	1.075	1.447	0.1659
0.95	1.085	1.542	0.1777
0.95	1.095	1.456	0.1624
0.95	1.105	1.537	0.1714
0.95	1.115	1.525	0.17
0.95	1.125	1.574	0.2028
0.95	1.135	1.575	0.1781
0.95	1.145	1.629	0.1929
0.95	1.155	1.843	0.2221
0.95	1.165	1.872	0.2089
0.95	1.175	1.867	0.2156
0.95	1.185	2.122	0.2677
0.95	1.195	2.146	0.2355
0.95	1.205	2.152	0.2456
0.95	1.215	2.305	0.2693
0.95	1.225	2.203	0.2935
0.95	1.235	2.373	0.265
0.95	1.245	2.392	0.2791
0.95	1.255	2.433	0.3045
0.95	1.265	2.626	0.3309
0.95	1.275	2.247	0.2713
0.95	1.285	2.439	0.3574
0.95	1.295	2.558	0.2826
0.95	1.305	2.336	0.278
0.95	1.315	2.221	0.2466
0.95	1.325	2.199	0.2638
0.95	1.335	2.267	0.2444
0.95	1.345	2.064	0.2392
0.95	1.355	1.934	0.2325
0.95	1.365	2.028	0.2309
0.95	1.375	1.948	0.2521
0.95	1.385	1.915	0.2495
0.95	1.395	1.774	0.2343
