#CLAS physics database search results
#Measurement E28M3
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	1.235	4.453	0.4789
0.45	1.245	4.352	0.4655
0.45	1.255	4.77	0.5785
0.45	1.265	4.351	0.4617
0.45	1.275	4.557	0.4857
0.45	1.285	4.506	0.4837
0.45	1.295	4.233	0.4487
0.45	1.305	4.348	0.4665
0.45	1.315	3.859	0.4248
0.45	1.325	3.888	0.4203
0.45	1.335	3.66	0.4114
0.45	1.345	3.903	0.4373
0.45	1.355	3.762	0.4155
0.45	1.365	3.567	0.3985
0.45	1.375	3.514	0.4258
0.45	1.385	3.598	0.3943
0.45	1.395	3.576	0.3982
0.55	0.405	0.8702	0.127
0.55	0.415	0.9162	0.1327
0.55	0.425	0.9151	0.1354
0.55	0.435	0.9834	0.1374
0.55	0.445	1.292	0.2208
0.55	0.455	1.279	0.181
0.55	0.465	1.394	0.2028
0.55	0.475	1.298	0.2307
0.55	0.485	1.408	0.2352
0.55	0.495	1.475	0.2013
0.55	0.505	1.747	0.2292
0.55	0.515	1.662	0.2085
0.55	0.525	1.627	0.2375
0.55	0.535	1.758	0.2367
0.55	0.545	2.186	0.3949
0.55	0.555	2.156	0.2944
0.55	0.565	2.478	0.4667
0.55	0.575	2.734	0.3509
0.55	0.585	2.627	0.3842
0.55	0.595	2.862	0.3497
0.55	0.605	2.832	0.5215
0.55	0.615	3.541	0.3994
0.55	0.625	3.693	0.4917
0.55	0.635	4.262	0.5229
0.55	0.645	4.496	0.5415
0.55	0.655	5.209	0.6054
0.55	0.665	5.871	0.6464
0.55	0.675	6.722	0.6913
0.55	0.685	7.548	0.9302
0.55	0.695	8.933	0.9523
0.55	0.705	9.589	1.1
0.55	0.715	11.15	1.203
0.55	0.725	11.85	1.327
0.55	0.735	13.86	1.484
0.55	0.745	14.65	1.507
0.55	0.755	15.02	1.589
0.55	0.765	15.38	1.681
0.55	0.775	16.14	1.669
0.55	0.785	14.72	1.519
0.55	0.795	13.08	1.351
0.55	0.805	12.02	1.252
0.55	0.815	11.16	1.235
0.55	0.825	10.09	1.105
0.55	0.835	9.712	1.019
0.55	0.845	8.72	0.9855
0.55	0.855	7.931	0.8863
0.55	0.865	7.427	0.7881
0.55	0.875	6.998	0.7457
0.55	0.885	6.613	0.6923
0.55	0.895	6.025	0.6313
0.55	0.905	5.641	0.6074
0.55	0.915	5.945	0.6396
0.55	0.925	5.297	0.5678
0.55	0.935	4.963	0.5271
0.55	0.945	5.05	0.5512
0.55	0.955	4.837	0.5063
0.55	0.965	4.727	0.5093
0.55	0.975	4.246	0.4631
0.55	0.985	4.049	0.4778
0.55	0.995	4.106	0.455
0.55	1.005	3.725	0.4016
0.55	1.015	3.895	0.4292
0.55	1.025	3.937	0.4393
0.55	1.035	3.513	0.3874
0.55	1.045	3.337	0.3597
0.55	1.055	3.419	0.3648
0.55	1.065	3.106	0.3839
0.55	1.075	2.964	0.3312
0.55	1.085	2.865	0.3035
0.55	1.095	3.077	0.3353
0.55	1.105	3.059	0.3362
0.55	1.115	2.753	0.3451
0.55	1.125	2.886	0.3102
0.55	1.135	2.568	0.3355
0.55	1.145	2.649	0.2808
0.55	1.155	2.656	0.2845
0.55	1.165	2.946	0.3262
0.55	1.175	2.861	0.3318
0.55	1.185	3.083	0.3481
0.55	1.195	2.791	0.3091
0.55	1.205	2.957	0.3184
0.55	1.215	3.08	0.3314
0.55	1.225	3.067	0.3447
0.55	1.235	3.321	0.3826
0.55	1.245	3.259	0.3772
0.55	1.255	3.236	0.3566
0.55	1.265	3.372	0.3901
0.55	1.275	3.331	0.3909
0.55	1.285	3.305	0.3936
0.55	1.295	3.099	0.3401
0.55	1.305	3.008	0.3292
0.55	1.315	2.954	0.3475
0.55	1.325	2.847	0.3439
0.55	1.335	2.531	0.2778
0.55	1.345	2.799	0.3227
0.55	1.355	2.769	0.3014
0.55	1.365	2.76	0.3076
0.55	1.375	2.736	0.3063
0.55	1.385	2.59	0.3045
0.55	1.395	2.637	0.2847
0.65	0.405	0.6644	0.07726
0.65	0.415	0.7799	0.09615
0.65	0.425	0.5993	0.09934
0.65	0.435	0.7776	0.1057
0.65	0.445	0.9729	0.129
0.65	0.455	1.061	0.143
0.65	0.465	0.8549	0.2446
0.65	0.475	1.136	0.1481
0.65	0.485	1.145	0.1574
0.65	0.495	1.207	0.1729
0.65	0.505	1.115	0.1434
0.65	0.515	1.298	0.2138
0.65	0.525	1.166	0.1729
0.65	0.535	1.319	0.2761
0.65	0.545	1.417	0.2224
0.65	0.555	1.56	0.1855
0.65	0.565	1.496	0.2255
0.65	0.575	1.629	0.1918
0.65	0.585	1.921	0.2437
0.65	0.595	1.877	0.2255
0.65	0.605	2.18	0.2327
0.65	0.615	2.274	0.2716
0.65	0.625	2.388	0.2979
0.65	0.635	2.734	0.3679
0.65	0.645	2.979	0.3734
0.65	0.655	3.309	0.3634
0.65	0.665	3.632	0.3921
0.65	0.675	4.107	0.4512
0.65	0.685	4.688	0.526
0.65	0.695	5.294	0.5586
0.65	0.705	5.922	0.6387
0.65	0.715	6.535	0.6838
0.65	0.725	7.195	0.7498
0.65	0.735	8.096	0.8358
0.65	0.745	8.723	0.9054
0.65	0.755	9.388	0.9799
0.65	0.765	9.489	0.9807
0.65	0.775	8.79	0.9741
0.65	0.785	8.307	0.9801
0.65	0.795	8.043	0.8483
0.65	0.805	7.106	0.7903
0.65	0.815	6.806	0.7063
0.65	0.825	6.411	0.6865
0.65	0.835	5.565	0.6379
0.65	0.845	5.142	0.627
0.65	0.855	5.083	0.5889
0.65	0.865	4.545	0.5275
0.65	0.875	4.281	0.5071
0.65	0.885	4.079	0.4424
0.65	0.895	3.892	0.4757
0.65	0.905	3.824	0.4399
0.65	0.915	3.781	0.4313
0.65	0.925	3.691	0.3989
0.65	0.935	3.399	0.3757
0.65	0.945	3.394	0.3795
0.65	0.955	3.311	0.4061
0.65	0.965	3.358	0.4099
0.65	0.975	3.298	0.3897
0.65	0.985	2.763	0.3257
0.65	0.995	2.73	0.3506
0.65	1.005	2.557	0.2909
0.65	1.015	2.403	0.2918
0.65	1.025	2.242	0.2614
0.65	1.035	2.524	0.2817
0.65	1.045	2.454	0.2973
0.65	1.055	2.422	0.2942
0.65	1.065	2.059	0.229
0.65	1.075	2.033	0.2597
0.65	1.085	2.018	0.2238
0.65	1.095	2.055	0.2409
0.65	1.105	2.129	0.2355
0.65	1.115	2.061	0.2319
0.65	1.125	2.145	0.2369
0.65	1.135	2.133	0.2356
0.65	1.145	2.171	0.2429
0.65	1.155	2.242	0.2532
0.65	1.165	2.312	0.2726
0.65	1.175	2.455	0.3088
0.65	1.185	2.174	0.2358
0.65	1.195	2.409	0.28
0.65	1.205	2.369	0.3047
0.65	1.215	2.423	0.2793
0.65	1.225	2.472	0.2812
0.65	1.235	2.641	0.3574
0.65	1.245	2.722	0.3323
0.65	1.255	2.72	0.3443
0.65	1.265	2.749	0.3317
0.65	1.275	2.501	0.2782
0.65	1.285	2.436	0.2759
0.65	1.295	2.393	0.2641
0.65	1.305	2.238	0.2495
0.65	1.315	2.357	0.2645
0.65	1.325	2.452	0.2866
0.65	1.335	2.334	0.2655
0.65	1.345	2.407	0.2873
0.65	1.355	2.381	0.2755
0.65	1.365	2.25	0.259
0.65	1.375	2.186	0.2696
0.65	1.385	2.14	0.2592
0.65	1.395	2.167	0.2614
0.75	0.405	0.4625	0.05112
0.75	0.415	0.5225	0.0583
0.75	0.425	0.583	0.06604
0.75	0.435	0.5939	0.07286
0.75	0.445	0.6815	0.08602
0.75	0.455	0.7369	0.08473
0.75	0.465	0.7128	0.08843
0.75	0.475	0.9356	0.1609
0.75	0.485	0.8592	0.1141
0.75	0.495	0.9074	0.1104
0.75	0.505	0.8846	0.1368
0.75	0.515	0.9763	0.1185
0.75	0.525	0.9413	0.1837
0.75	0.535	1.087	0.138
0.75	0.545	1.047	0.146
0.75	0.555	1.145	0.1543
0.75	0.565	1.34	0.1603
0.75	0.575	1.307	0.1543
0.75	0.585	1.376	0.1816
0.75	0.595	1.408	0.1593
0.75	0.605	1.648	0.1884
0.75	0.615	1.712	0.1944
0.75	0.625	1.938	0.2202
0.75	0.635	2.165	0.26
0.75	0.645	2.241	0.2408
0.75	0.655	2.481	0.2742
0.75	0.665	2.853	0.3219
0.75	0.675	3.122	0.3381
0.75	0.685	3.492	0.3704
0.75	0.695	3.924	0.4382
0.75	0.705	4.171	0.4377
0.75	0.715	5.129	0.5349
0.75	0.725	5.493	0.6107
0.75	0.735	5.941	0.6283
0.75	0.745	6.273	0.6448
0.75	0.755	6.436	0.6592
0.75	0.765	6.939	0.7231
0.75	0.775	6.715	0.7193
0.75	0.785	6.173	0.6391
0.75	0.795	5.508	0.5805
0.75	0.805	5.201	0.5857
0.75	0.815	4.688	0.5066
0.75	0.825	4.481	0.4683
0.75	0.835	4.099	0.4737
0.75	0.845	3.833	0.4198
0.75	0.855	3.506	0.397
0.75	0.865	3.408	0.4016
0.75	0.875	3.195	0.3509
0.75	0.885	2.839	0.3185
0.75	0.895	2.82	0.3215
0.75	0.905	2.595	0.3038
0.75	0.915	2.564	0.282
0.75	0.925	2.282	0.2698
0.75	0.935	2.416	0.2749
0.75	0.945	2.142	0.2358
0.75	0.955	2.163	0.2486
0.75	0.965	2.02	0.2218
0.75	0.975	2.129	0.234
0.75	0.985	1.946	0.2207
0.75	0.995	1.624	0.1824
0.75	1.005	1.631	0.1829
0.75	1.015	1.649	0.1899
0.75	1.025	1.506	0.184
0.75	1.035	1.619	0.2198
0.75	1.045	1.706	0.1926
0.75	1.055	1.644	0.1855
0.75	1.065	1.555	0.1821
0.75	1.075	1.609	0.1842
0.75	1.085	1.687	0.1923
0.75	1.095	1.726	0.1993
0.75	1.105	1.635	0.1904
0.75	1.115	1.735	0.1979
0.75	1.125	1.712	0.1963
0.75	1.135	1.75	0.2009
0.75	1.145	1.823	0.2075
0.75	1.155	1.873	0.2284
0.75	1.165	1.807	0.2091
0.75	1.175	2.045	0.2257
0.75	1.185	2.057	0.2374
0.75	1.195	2.139	0.2915
0.75	1.205	2.116	0.2462
0.75	1.215	2.103	0.2391
0.75	1.225	2.342	0.3097
0.75	1.235	2.085	0.2332
0.75	1.245	2.197	0.2561
0.75	1.255	2.042	0.2464
0.75	1.265	2.105	0.2858
0.75	1.275	2.219	0.2685
0.75	1.285	2.046	0.2443
0.75	1.295	2.113	0.2439
0.75	1.305	2.183	0.3165
0.75	1.315	1.981	0.2383
0.75	1.325	2.191	0.2991
0.75	1.335	1.869	0.2253
0.75	1.345	1.922	0.2256
0.75	1.355	2.141	0.288
0.75	1.365	1.795	0.2611
0.75	1.375	1.897	0.2122
0.75	1.385	1.86	0.2188
0.75	1.395	1.854	0.2158
0.85	0.405	0.4018	0.04384
0.85	0.415	0.4361	0.04857
0.85	0.425	0.4198	0.04724
0.85	0.435	0.4624	0.05464
0.85	0.445	0.5227	0.07001
0.85	0.455	0.5536	0.06517
0.85	0.465	0.5934	0.07196
0.85	0.475	0.6284	0.07983
0.85	0.485	0.7596	0.1121
0.85	0.495	0.673	0.08053
0.85	0.505	0.8028	0.1052
0.85	0.515	0.7666	0.1053
0.85	0.525	0.9651	0.1115
0.85	0.535	0.7708	0.1058
0.85	0.545	0.8459	0.1145
0.85	0.555	0.955	0.1099
0.85	0.565	1.026	0.1327
0.85	0.575	0.9853	0.1292
0.85	0.585	0.9933	0.122
0.85	0.595	1.199	0.1442
0.85	0.605	1.453	0.166
0.85	0.615	1.533	0.1835
0.85	0.625	1.559	0.1759
0.85	0.635	1.644	0.1866
0.85	0.645	1.947	0.2148
0.85	0.655	2.093	0.2366
0.85	0.665	2.392	0.2598
0.85	0.675	2.576	0.2844
0.85	0.685	3.113	0.34
0.85	0.695	3.322	0.351
0.85	0.705	3.773	0.3978
0.85	0.715	4.064	0.427
0.85	0.725	4.801	0.5062
0.85	0.735	4.973	0.5294
0.85	0.745	5.617	0.6072
0.85	0.755	5.626	0.5881
0.85	0.765	5.642	0.5972
0.85	0.775	5.633	0.5825
0.85	0.785	4.955	0.5346
0.85	0.795	4.655	0.5044
0.85	0.805	4.148	0.4411
0.85	0.815	3.629	0.3929
0.85	0.825	3.459	0.3882
0.85	0.835	3.239	0.3457
0.85	0.845	2.897	0.3077
0.85	0.855	2.48	0.2857
0.85	0.865	2.373	0.255
0.85	0.875	2.105	0.2429
0.85	0.885	1.916	0.2475
0.85	0.895	1.811	0.207
0.85	0.905	1.658	0.2024
0.85	0.915	1.688	0.1905
0.85	0.925	1.635	0.1928
0.85	0.935	1.55	0.1754
0.85	0.945	1.6	0.182
0.85	0.955	1.469	0.1641
0.85	0.965	1.414	0.158
0.85	0.975	1.601	0.1781
0.85	0.985	1.251	0.1451
0.85	0.995	1.355	0.1491
0.85	1.005	1.158	0.1387
0.85	1.015	1.298	0.1526
0.85	1.025	1.242	0.1614
0.85	1.035	1.333	0.1763
0.85	1.045	1.368	0.1561
0.85	1.055	1.424	0.1623
0.85	1.065	1.503	0.1702
0.85	1.075	1.35	0.1522
0.85	1.085	1.379	0.1612
0.85	1.095	1.376	0.1602
0.85	1.105	1.415	0.1766
0.85	1.115	1.336	0.1523
0.85	1.125	1.456	0.1626
0.85	1.135	1.534	0.1777
0.85	1.145	1.623	0.2083
0.85	1.155	1.465	0.1661
0.85	1.165	1.631	0.2043
0.85	1.175	1.721	0.2089
0.85	1.185	1.621	0.2129
0.85	1.195	1.796	0.2054
0.85	1.205	1.945	0.2594
0.85	1.215	1.733	0.2108
0.85	1.225	1.919	0.2417
0.85	1.235	1.872	0.2162
0.85	1.245	1.848	0.2074
0.85	1.255	2.018	0.2647
0.85	1.265	2.103	0.3157
0.85	1.275	1.91	0.2178
0.85	1.285	1.97	0.2749
0.85	1.295	2.014	0.259
0.85	1.305	1.974	0.2369
0.85	1.315	1.971	0.2562
0.85	1.325	2.045	0.3184
0.85	1.335	1.86	0.2318
0.85	1.345	1.932	0.2335
0.85	1.355	1.789	0.283
0.85	1.365	1.8	0.2139
0.85	1.375	1.771	0.2737
0.85	1.385	1.762	0.2469
0.85	1.395	1.617	0.2199
0.95	0.405	0.3119	0.03454
0.95	0.415	0.3622	0.04011
0.95	0.425	0.4297	0.04757
0.95	0.435	0.378	0.04295
0.95	0.445	0.3859	0.04437
0.95	0.455	0.4251	0.05
0.95	0.465	0.5324	0.06485
0.95	0.475	0.5255	0.06461
0.95	0.485	0.5857	0.07636
0.95	0.495	0.6151	0.07443
0.95	0.505	0.5987	0.07205
0.95	0.515	0.6997	0.08545
0.95	0.525	0.7755	0.1008
0.95	0.535	0.7872	0.09574
0.95	0.545	0.7428	0.09017
0.95	0.555	0.8484	0.09933
0.95	0.565	0.8189	0.09346
0.95	0.575	0.8236	0.09459
0.95	0.585	0.9582	0.1435
0.95	0.595	1.104	0.1398
0.95	0.605	1.216	0.1421
0.95	0.615	1.249	0.1499
0.95	0.625	1.375	0.1518
0.95	0.635	1.608	0.1765
0.95	0.645	1.643	0.1785
0.95	0.655	1.758	0.19
0.95	0.665	1.998	0.2164
0.95	0.675	2.273	0.2392
0.95	0.685	2.676	0.2863
0.95	0.695	2.796	0.3089
0.95	0.705	2.949	0.3213
0.95	0.715	3.483	0.3637
0.95	0.725	3.412	0.3853
0.95	0.735	3.889	0.4202
0.95	0.745	4.261	0.4496
0.95	0.755	4.179	0.4477
0.95	0.765	4.277	0.4552
0.95	0.775	4.124	0.4427
0.95	0.785	3.634	0.3797
0.95	0.795	3.343	0.3508
0.95	0.805	3.016	0.3198
0.95	0.815	2.833	0.3216
0.95	0.825	2.608	0.276
0.95	0.835	2.394	0.2535
0.95	0.845	2.193	0.2381
0.95	0.855	2.071	0.2183
0.95	0.865	1.821	0.1935
0.95	0.875	1.71	0.1828
0.95	0.885	1.787	0.2154
0.95	0.895	1.57	0.1714
0.95	0.905	1.458	0.1587
0.95	0.915	1.333	0.1437
0.95	0.925	1.523	0.1691
0.95	0.935	1.449	0.1736
0.95	0.945	1.393	0.1612
0.95	0.955	1.452	0.1589
0.95	0.965	1.285	0.1412
0.95	0.975	1.302	0.1454
0.95	0.985	1.242	0.1374
0.95	0.995	1.257	0.1463
0.95	1.005	1.131	0.1316
0.95	1.015	1.048	0.1405
0.95	1.025	1.198	0.1358
0.95	1.035	1.076	0.1203
0.95	1.045	1.068	0.1235
0.95	1.055	1.225	0.1379
0.95	1.065	1.222	0.1385
0.95	1.075	1.315	0.1472
0.95	1.085	1.166	0.1317
0.95	1.095	1.079	0.1254
0.95	1.105	1.284	0.1614
0.95	1.115	1.289	0.1629
0.95	1.125	1.35	0.1566
0.95	1.135	1.323	0.1593
0.95	1.145	1.272	0.149
0.95	1.155	1.391	0.1829
0.95	1.165	1.39	0.1687
0.95	1.175	1.436	0.1685
0.95	1.185	1.428	0.1637
0.95	1.195	1.578	0.1924
0.95	1.205	1.734	0.2162
0.95	1.215	1.79	0.2061
0.95	1.225	1.783	0.2321
0.95	1.235	1.769	0.1965
0.95	1.245	1.916	0.2581
0.95	1.255	2.052	0.2952
0.95	1.265	1.941	0.2674
0.95	1.275	1.875	0.2152
0.95	1.285	2.054	0.2831
0.95	1.295	1.826	0.2048
0.95	1.305	1.948	0.252
0.95	1.315	1.933	0.2455
0.95	1.325	1.966	0.3478
0.95	1.335	2.027	0.2676
0.95	1.345	1.891	0.236
0.95	1.355	1.88	0.2075
0.95	1.365	1.775	0.2616
0.95	1.375	1.587	0.2385
0.95	1.385	1.636	0.2435
0.95	1.395	1.546	0.1957
